,Name,Price,Brand,Review counts,Review score,Product status,Company name,Link,RAM,RAM Type,Ratio RAM/€
0,"Lenovo IdeaPad 3 15ITL6, 15.6"" Full HD, Intel® Core™ i5-1135G7, 8GB RAM, 512GB SSD, Iris® Xe Graphics",545.0,LENOVO,7,4.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_portatil-lenovo-ideapad-3-15itl6-156-full-hd-intelr-coretm-i5-1135g7-8gb-ram-512gb-ssd-irisr-xe-graphics-windows-11-home-1537552.html,8,RAM1,0.014678899082568808
1,"Acer A315-56-304W, 15.6"" Full HD, Intel® Core™ i3-1005G1, 8GB RAM, 256GB SSD, Intel® UHD Graphics",459.0,ACER,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_portatil-acer-a315-56-304w-156-full-hd-intelr-coretm-i3-1005g1-8gb-ram-256gb-ssd-intelr-uhd-graphics-sin-sistema-operativo-1538541.html,8,RAM1,0.017429193899782137
2,"HP 15S-EQ1040NS, 15.6"" HD, AMD 3020e, 4GB, 128GB SSD, Gráficos AMD Radeon™",369.0,HP,5,4.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_portatil-hp-15s-eq1040ns-156-hd-amd-3020e-4-gb-128-gb-ssd-graficos-amd-radeontm-w11-s-plata-1522955.html,4,RAM1,0.01084010840108401
3,"82KD00ENSP LENOVO, 15,6"", Full-HD, AMD Ryzen 3 5300U (4C / 8T, 2.6 / 3.8GHz, 2MB L2 / 4MB L3), 8GB, 256GB",397.28,LENOVO,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_portatil-82kd00ensp-lenovo-156-full-hd-amd-ryzen-3-5300u-4c-8t-26-38ghz-2mb-l2-4mb-l3-8-gb-256-gb-integrada-windows-11-home-negro-98527548.html,8,RAM1,0.02013693113169553
4,"Acer Swift 3 SF314-511-525P, 14"" FHD, Intel® Core™ i5-1135G7, 16GB RAM, 512GB SSD, Iris® Xe",780.0,ACER,4,3.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_portatil-acer-swift-3-sf314-511-525p-14-fhd-intelr-coretm-i5-1135g7-16-gb-ram-512-gb-ssd-irisr-xe-w11-1527965.html,16,RAM2,0.020512820512820513
5,"Netbook Pro PRIXTON, 14,1"", UHD 4K, Intel Celeron Gemini Lake N4020, 4GB, 64GB, Intel® UHD Graphics 600",194.95,PRIXTON,4,3.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_porttil-prixton-netbook-pro-141--intel-ce-87140865.html,4,RAM1,0.0205180815593742
6,"Samsung Chromebook 44GB 32GB 11.6"" 12H OS Platinium SAMSUNG, 11,6"", UHD 4K, Intel® Celeron® N4000, 4GB, 32GB, Chrome OS Platinum Titan",215.4,SAMSUNG,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_porttil-samsung-chromebook-4--4gb-32gb-116-12-94144827.html,4,RAM1,0.018570102135561744
7,"Acer Aspire 3 A315-34-C6NM, 15.6"" FHD, Intel® Celeron® N4020, 8GB RAM, 256GB SSD, UHD 600",280.0,ACER,4,2.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_portatil-acer-aspire-3-a315-34-c6nm-156-fhd-intelr-celeronr-n4020-8-gb-ram-256-gb-ssd-uhd-600-fdos-1526251.html,8,RAM1,0.02857142857142857
8,"VOOM LAPTOP PRO - INNJOO, 14,1"", Intel Celeron N3350, 6GB, 128GB, Intel® HD 500",209.99,INNJOO,1,4.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_porttil-innjoo-voom-laptop-pro-141--intel-92487925.html,6,RAM1,0.028572789180437163
9,"82C3001WSP LENOVO, 15,6"", Full-HD, Celeron, 8GB, 256GB, Intel UHD Graphics integrada",324.88,LENOVO,5,4.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_porttil-82c3001wsp-lenovo-156--full-hd-c-94561470.html,8,RAM1,0.02462447672986949
