,Name,Price,Brand,Review counts,Review score,Product status,Company name,Link,Inches,Inches Type,Ratio Inches/€
0,"Monitor - Samsung LU28R550UQRXEN, 28"" UHD 4K, 300 cd/m², 4 ms, 60 Hz, HDMI, AMD FreeSync, Modo juego, ",199.0,SAMSUNG,5,4.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-samsung-lu28r550uqrxen-28-uhd-4k-300-cd-m²-4-ms-60-hz-hdmi-amd-freesync-modo-juego-gris-1505234.html,28.0,Inch2,0.1407035175879397
1,"Monitor - Samsung LS27BM501EUXEN, 27"" FHD, 4 ms, 60 Hz, Bluetooth 4,2, 1x HDMI 1,4, 1x HDMI 2 EA, 2x USB-A, ",299.0,SAMSUNG,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-samsung-ls27bm501euxen-27-fhd-4-ms-60-hz-bluetooth-42-1x-hdmi-14-1x-hdmi-2-ea-2x-usb-a-blanco-1531374.html,27.0,Inch3,0.0903010033444816
2,"Monitor - LG 27UL500-W, 27"" UHD 4K, 5ms, 60 Hz, DP, HDMI, ",273.0,LG,17,4.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-lg-27ul500-w-27-uhd-4k-5ms-60-hz-dp-hdmi-plata-1487088.html,27.0,Inch3,0.0989010989010989
3,"Monitor - 34WQ60C LG, 34"", QHD, 1 ms, Displayport|HDMI|USB, ",347.42,LG,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-34wq60c-lg-34-qhd-1-ms-displayportorhdmiorusb-negro-98664202.html,34.0,Inch2,0.09786425651948649
4,"Monitor - P34hc G4 HP, 34"", WQHD, 5 ms, DVI|Displayport|HDMI|USB|USB-C|VGA, ",475.78,HP,1,5.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-p34hc-g4-hp-34-wqhd-5-ms-dviordisplayportorhdmiorusborusb-corvga-negro-98692657.html,34.0,Inch2,0.07146159989911303
5,"Monitor - HP M27F, 27"", 2K, 5 ms, 50/60 Hz, HDMI, VGA, , ",199.0,HP,19,3.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-hp-27-full-hd-5-ms-5060-hz-hdmi-vga-negro-plata-1514513.html,27.0,Inch3,0.135678391959799
6,"Monitor - Lenovo Q24I-1L, 23,8"" FHD, 4 ms, 75 Hz, NTSC 72 %, 1000:1, AMD FreeSync™, 2 altavoces, ",157.0,LENOVO,1,5.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-lenovo-q24i-1l-238-fhd-4-ms-75-hz-ntsc-72-percent-10001-amd-freesynctm-2-altavoces-plata-1510713.html,23.8,Inch1,0.15159235668789808
7,"Monitor - MD27PRO-2 MILLENIUM, 27"", QHD, 1 ms, HDMI 3, Display port 1, Jack 3,5 mm 1, ",219.0,MILLENIUM,1,5.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-md27pro-2-millenium-27--qhd-1-ms-90149220.html,27.0,Inch3,0.1232876712328767
8,"Monitor - Samsung LS32BM701UUXEN, 32"" UHD 4K, 4 ms, 60 Hz, Wi-Fi 5, Bluetooth 4,2, 2x HDMI 2,0, 3x USB Hub, ",419.0,SAMSUNG,3,5.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-samsung-ls32bm701uuxen-32-uhd-4k-4-ms-60-hz-wi-fi-5-bluetooth-42-2x-hdmi-20-3x-usb-hub-blanco-1531376.html,32.0,Inch2,0.07637231503579953
9,"Monitor gaming - 8806091090683 LG, 29"", Full-HD, 1 ms, HDMI x1, DisplayPort x1, USB-C x1, Salida auriculares x1, ",210.28,LG,5,4.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-lg-29--full-hd-1-ms-hdmi-x-94642792.html,29.0,Inch2,0.1379113562868556
10,"Monitor gaming E970SWN - AOC, 18,5"", HD-ready, 5 ms, VGA, ",96.08,AOC,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-e970swn-aoc-185--hd-ready-93327968.html,18.5,Inch1,0.19254787676935886
11,"Monitor gaming - 62AAKAT6EU LENOVO, 27"", Full-HD, 6 ms, HDMI|USB|VGA, ",148.41,LENOVO,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-c27-30d20270fd0-lenovo-27-93606484.html,27.0,Inch3,0.18192844147968465
12,"Monitor - LG 34WQ650-W, 34"", FHD, 5ms (GTG), 56/61 Hz, HDMI, DisplayPort, USB-C, Auriculares,  High Glossy",312.0,LG,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-lg-34wq650-w-34-fhd-5ms-gtg-5661-hz-hdmi-displayport-usb-c-auriculares-blanco-high-glossy-1541295.html,34.0,Inch2,0.10897435897435898
13,"Monitor - 193V5LSB2/10 PHILIPS, 19"", HD-ready, 5 ms, HDMI|USB|VGA, ",92.34,PHILIPS,3,5.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-193v5lsb210-philips-19-hd-ready-5-ms-hdmiorusborvga-negro-98662370.html,19.0,Inch1,0.20576131687242796
14,"Monitor - HP M24fwa24"", 2K, 75Hz, 5ms, IPS, 16:9, HDMI, VGA, Antirreflejo, Eye Ease, ",164.0,HP,1,5.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-hp-m24fwa24-fhd-1920-x-1080-75hz-5ms-ips-169-hdmi-vga-antirreflejo-eye-ease-blanco-1523680.html,24.0,Inch1,0.14634146341463414
15,"Monitor - LG 32MN500M-B, 31,5"" Full-HD, 5 ms, 75 Hz, 2 x HDMI, Radeon FreeSync, ",168.0,LG,6,5.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-lg-32mn500m-b-31-5-full-hd-5-ms-75-hz-2-x-hdmi-radeon-freesync-negro-1477814.html,31.5,Inch2,0.1875
16,"Monitor - 24MP450-B LG, 24"", Full-HD, 5 ms, HDMI|USB|VGA, ",145.92,LG,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-24mp450-b-lg-24-full-hd-5-ms-hdmiorusborvga-negro-98662575.html,24.0,Inch1,0.16447368421052633
17,"Monitor gaming - MO22AS11 ASUS, 21,5"", Full-HD, 1 ms, DVI|HDMI|Jack Audio|USB|VGA, ",121.37,ASUS,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-90lm01k0-b05170-asus-215--f-92932032.html,21.5,Inch1,0.1771442695888605
18,"Monitor - Nilox - MONITOR 21,5” 5MS, VGA y HDMI NILOX, 21,5"", Full-HD, 5 ms, 1xVGA (D-Sub), 1xHDMI, Black",100.71,NILOX,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-nilox-monitor-215-5ms-vga-y-hdmi-nilox-215-full-hd-5-ms-1xvga-d-sub-1xhdmi-black-97065791.html,21.5,Inch1,0.2134842617416344
19,"Monitor gaming - 62A8KAT1EU LENOVO, 23,8"", Full-HD, 4 ms, HDMI|Jack Audio|USB|VGA, ",138.65,LENOVO,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-62a8kat1eu-hp-238--full-hd-94480042.html,23.8,Inch1,0.1716552470248828
20,"Monitor - 26WQ500 LG, 26"", QHD, 1 ms, HDMI|USB, ",184.07,LG,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-26wq500-lg-26-qhd-1-ms-hdmiorusb-negro-98661200.html,26.0,Inch1,0.14125061118052915
21,"Monitor - Samsung LF27T350FHRXEN, 27"" FHD, 5 ms, 75 Hz, HDMI, LED, 250 cd/m², ",160.0,SAMSUNG,11,4.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-samsung-lf27t350fhrxen-27-fhd-5-ms-75-hz-hdmi-led-250-cd-m²-negro-1503965.html,27.0,Inch3,0.16875
22,"Monitor - 24MP400-C LG, 24"", Full-HD, 5 ms, HDMI|USB|VGA, ",135.49,LG,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-24mp400-c-lg-24-full-hd-5-ms-hdmiorusborvga-negro-98662295.html,24.0,Inch1,0.1771348438999188
23,"Monitor gaming - VP228DE ASUS, 22"", Full-HD, 5 ms, D-Sub, ",111.21,ASUS,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-vp228de-asus-22--full-hd-5-92424897.html,22.0,Inch1,0.19782393669634027
24,"Monitor - Philips 221V8, 21,5""FHD, 4 ms, 75 Hz, SmartContrast, Mod EasyRead, LowBlue Mode, ",109.0,PHILIPS,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-philips-221v8-215fhd-4-ms-75-hz-smartcontrast-mod-easyread-lowblue-mode-negro-1526374.html,21.5,Inch1,0.19724770642201836
25,"Monitor - 24B2XDA AOC, 24"", Full-HD, 4 ms, DVI|HDMI|USB|VGA, ",142.56,AOC,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-24b2xda-aoc-24-full-hd-4-ms-dviorhdmiorusborvga-negro-98693111.html,24.0,Inch1,0.16835016835016836
26,"Monitor - LG 27UL550-W, 27"", UHD 4K, 5ms, 60 Hz, 1x HDMI, 1x DisplayPort, ",291.0,LG,0,0.0,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-lg-27ul550-w-27-uhd-4k-5ms-60-hz-1x-hdmi-1x-displayport-blanco-1524506.html,27.0,Inch3,0.09278350515463918
27,"Monitor gaming - Acer KA240YBI, 24"" FHD, VA LED, 1 ms VRB, 75 Hz, 250 cd/m², VGA, AMD FreeSync, ",140.0,ACER,2,4.5,Brand New,Mediamarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-acer-ka240ybi-24-fhd-va-led-1-ms-vrb-75-hz-250-cd-m²-vga-amd-freesync-negro-1496741.html,24.0,Inch1,0.17142857142857143
